producto,col_target,cv_auc_mean,cv_auc_std,test_auc,pct_positivos
Tarjeta de Crédito Hey,tiene_tarjeta_credito_hey,0.979,0.0019,0.979,0.4294
Inversión Hey,tiene_inversion_hey,0.9837,0.0023,0.9827,0.2686
Seguro de Vida,tiene_seguro_vida,0.9581,0.0036,0.9583,0.1515
Seguro de Compras,tiene_seguro_compras,0.984,0.0024,0.984,0.077
Crédito Personal,tiene_credito_personal,0.9716,0.0033,0.9729,0.064
Crédito Nómina,tiene_credito_nomina,0.991,0.0005,0.9901,0.1245
Crédito Auto,tiene_credito_auto,0.9904,0.0011,0.9897,0.0578
Tarjeta Garantizada,tiene_tarjeta_credito_garantizada,0.984,0.0017,0.9859,0.0396
Cuenta Negocios,tiene_cuenta_negocios,0.9951,0.0015,0.9972,0.0816
